x,y
6558.966666666666,0.4224
6558.85,0.424
6558.616666666667,0.424
6558.5,0.4256
6558.383333333333,0.4256
6558.15,0.4288
6558.15,0.4304
6558.033333333334,0.432
6558.033333333334,0.4336
6557.916666666667,0.4352
6557.916666666667,0.4368
6557.8,0.4384
6557.8,0.44
6557.683333333333,0.4416
6557.683333333333,0.4448
6557.45,0.448
6557.45,0.4512
6557.333333333333,0.4528
6557.333333333333,0.4544
6557.216666666666,0.456
6557.216666666666,0.4592
6557.1,0.4608
6557.1,0.464
6556.983333333334,0.4656
6556.983333333334,0.4704
6556.866666666667,0.472
6556.866666666667,0.4736
6556.75,0.4752
6556.75,0.4768
6556.633333333333,0.4784
6556.633333333333,0.48
6556.516666666666,0.4816
6556.516666666666,0.4848
6556.4,0.4864
6556.4,0.4896
6556.283333333334,0.4912
6556.283333333334,0.4928
6556.166666666667,0.4944
6556.166666666667,0.4976
6556.05,0.4992
6556.05,0.5008
6555.933333333333,0.5024
6555.933333333333,0.504
6555.816666666667,0.5056
6555.816666666667,0.5072
6555.7,0.5088
6555.7,0.5104
6555.583333333333,0.512
6555.583333333333,0.5136
6555.466666666666,0.5152
6555.466666666666,0.5168
6555.35,0.5184
6555.35,0.52
6555.233333333334,0.5216
6555.233333333334,0.5232
6555.116666666667,0.5248
6555.116666666667,0.5264
6555.0,0.528
6555.0,0.5296
6554.883333333333,0.5312
6554.883333333333,0.5328
6554.766666666666,0.5344
6554.766666666666,0.536
6554.65,0.5376
6554.65,0.5392
6554.533333333334,0.5408
6554.533333333334,0.5424
6554.066666666667,0.5488
6554.066666666667,0.5504
6553.833333333333,0.5536
6553.833333333333,0.5552
6553.6,0.5584
6553.6,0.56
6553.366666666667,0.5632
6553.366666666667,0.5648
6552.2,0.5808
6552.2,0.5824
6552.083333333333,0.584
6552.083333333333,0.5856
6551.966666666666,0.5872
6551.966666666666,0.5904
6551.85,0.592
6551.85,0.5936
6551.616666666667,0.5968
6551.616666666667,0.5984
6551.5,0.6
6551.5,0.6032
6551.383333333333,0.6048
6551.383333333333,0.6064
6551.266666666666,0.608
6551.266666666666,0.6112
6551.15,0.6128
6551.15,0.6144
6551.033333333334,0.616
6551.033333333334,0.6208
6550.916666666667,0.6224
6550.916666666667,0.624
6550.8,0.6256
6550.8,0.6288
6550.683333333333,0.6304
6550.683333333333,0.6336
6550.566666666667,0.6352
6550.566666666667,0.6384
6550.45,0.64
6550.45,0.6432
6550.333333333333,0.6448
6550.333333333333,0.6496
6550.216666666666,0.6512
6550.216666666666,0.6544
6550.1,0.656
6550.1,0.6592
6549.983333333334,0.6608
6549.983333333334,0.664
6549.866666666667,0.6656
6549.866666666667,0.6704
6549.75,0.672
6549.75,0.6752
6549.633333333333,0.6768
6549.633333333333,0.68
6549.516666666666,0.6816
6549.516666666666,0.6848
6549.4,0.6864
6549.4,0.6896
6549.283333333334,0.6912
6549.283333333334,0.6944
6549.166666666667,0.696
6549.166666666667,0.6992
6549.05,0.7008
6549.05,0.704
6548.933333333333,0.7056
6548.933333333333,0.7088
6548.816666666667,0.7104
6548.816666666667,0.7136
6548.7,0.7152
6548.7,0.7184
6548.583333333333,0.72
6548.583333333333,0.7232
6548.466666666666,0.7248
6548.466666666666,0.728
6548.35,0.7296
6548.35,0.7312
6548.233333333334,0.7328
6548.233333333334,0.736
6548.116666666667,0.7376
6548.116666666667,0.7408
6548.0,0.7424
6548.0,0.7472
6547.883333333333,0.7488
6547.883333333333,0.752
6547.766666666666,0.7536
6547.766666666666,0.7568
6547.65,0.7584
6547.65,0.7616
6547.533333333334,0.7632
6547.533333333334,0.7664
6547.416666666667,0.768
6547.416666666667,0.7728
6547.3,0.7744
6547.3,0.7792
6547.183333333333,0.7808
6547.183333333333,0.784
6547.066666666667,0.7856
6547.066666666667,0.792
6546.95,0.7936
6546.95,0.7984
6546.833333333333,0.8
6546.833333333333,0.8048
6546.716666666666,0.8064
6546.716666666666,0.8112
6546.6,0.8128
6546.6,0.8176
6546.483333333334,0.8192
6546.483333333334,0.824
6546.366666666667,0.8256
6546.366666666667,0.832
6546.25,0.8336
6546.25,0.8384
6546.133333333333,0.84
6546.133333333333,0.8448
6546.016666666666,0.8464
6546.016666666666,0.8512
6545.9,0.8528
6545.9,0.8576
6545.783333333334,0.8592
6545.783333333334,0.864
6545.666666666667,0.8656
6545.666666666667,0.8688
6545.55,0.8704
6545.55,0.8736
6545.433333333333,0.8752
6545.433333333333,0.88
6545.316666666667,0.8816
6545.316666666667,0.8848
6545.2,0.8864
6545.2,0.8896
6545.083333333333,0.8912
6545.083333333333,0.8944
6544.966666666666,0.896
6544.966666666666,0.8976
6544.85,0.8992
6544.85,0.9024
6544.733333333334,0.904
6544.733333333334,0.9056
6544.616666666667,0.9072
6544.616666666667,0.9104
6544.5,0.912
6544.5,0.9136
6544.383333333333,0.9152
6544.383333333333,0.9168
6544.266666666666,0.9184
6544.266666666666,0.92
6544.15,0.9216
6544.15,0.9232
6544.033333333334,0.9248
6544.033333333334,0.9264
6543.8,0.9296
6543.8,0.9312
6543.45,0.936
6543.45,0.9376
6542.166666666667,0.9552
6542.05,0.9552
6541.816666666667,0.9584
6541.583333333333,0.9584
6541.466666666666,0.96
6541.116666666667,0.96
6541.0,0.9616
6540.883333333333,0.96
6540.066666666667,0.96
6539.833333333333,0.9632
6539.716666666666,0.9632
6539.716666666666,0.9648
6539.6,0.9664
6539.483333333334,0.9664
6539.483333333334,0.968
6539.133333333333,0.9728
6539.133333333333,0.9744
6538.316666666667,0.9856
6538.2,0.9856
6538.083333333333,0.9872
6537.966666666666,0.9872
6537.85,0.9888
6537.733333333334,0.9888
6537.616666666667,0.9904
6537.266666666666,0.9904
6537.15,0.992
6536.566666666667,0.992
6536.45,0.9936
6535.4,0.9936
6535.283333333334,0.9952
6533.183333333333,0.9952
6533.066666666667,0.9968
6520.0,0.9968
6520.0,1.0
6532.95,1.0
6533.066666666667,0.9984
6535.05,0.9984
6535.166666666667,0.9968
6536.45,0.9968
6536.566666666667,0.9952
6537.15,0.9952
6537.266666666666,0.9936
6537.616666666667,0.9936
6537.733333333334,0.992
6537.966666666666,0.992
6538.083333333333,0.9904
6538.2,0.9904
6538.433333333333,0.9872
6538.55,0.9872
6538.9,0.9824
6539.016666666666,0.9824
6539.016666666666,0.9808
6539.366666666667,0.976
